# Topgear exclusions from the 2026-09-24 Zaryx client/cache equipment audit.
# Format: item ID # name; audit reasons. Remove an entry only after its definition
# and inventory/male/female worn assets have been restored and verified.
# Jewelry need not have a worn mesh. This list affects rankings only.
466 # Pickaxe handle; missing femaleModel0=65535; no male model
773 # 'perfect' ring; missing femaleModel0=65535; no male model
1410 # Iban's staff; missing femaleModel0=65535; no male model
1635 # Gold ring; missing femaleModel0=65535; no male model
1637 # Sapphire ring; missing femaleModel0=65535; no male model
1639 # Emerald ring; missing femaleModel0=65535; no male model
1641 # Ruby ring; missing femaleModel0=65535; no male model
1643 # Diamond ring; missing femaleModel0=65535; no male model
1645 # Dragonstone ring; missing femaleModel0=65535; no male model
2513 # Dragon chainbody; missing femaleModel0=65535; no male model
2550 # Ring of recoil; missing femaleModel0=65535; no male model
2552 # Ring of dueling(8); missing femaleModel0=65535; no male model
2554 # Ring of dueling(7); missing femaleModel0=65535; no male model
2556 # Ring of dueling(6); missing femaleModel0=65535; no male model
2558 # Ring of dueling(5); missing femaleModel0=65535; no male model
2560 # Ring of dueling(4); missing femaleModel0=65535; no male model
2562 # Ring of dueling(3); missing femaleModel0=65535; no male model
2564 # Ring of dueling(2); missing femaleModel0=65535; no male model
2566 # Ring of dueling(1); missing femaleModel0=65535; no male model
2568 # Ring of forging; missing femaleModel0=65535; no male model
2570 # Ring of life; missing femaleModel0=65535; no male model
2572 # Ring of wealth; missing femaleModel0=65535; no male model
4024 # Ninja monkey greegree; missing femaleModel0=65535; no male model
4025 # Ninja monkey greegree; missing femaleModel0=65535; no male model
4026 # Gorilla greegree; missing femaleModel0=65535; no male model
4027 # Bearded gorilla greegree; missing femaleModel0=65535; no male model
4028 # Ancient gorilla greegree; missing femaleModel0=65535; no male model
4029 # Zombie monkey greegree; missing femaleModel0=65535; no male model
4030 # Zombie monkey greegree; missing femaleModel0=65535; no male model
4031 # Karamjan monkey greegree; missing femaleModel0=65535; no male model
4202 # Ring of charos; missing femaleModel0=65535; no male model
4284 # Bedsheet; missing femaleModel0=65535; no male model
4285 # Bedsheet; missing femaleModel0=65535; no male model
4657 # Ring of visibility; missing femaleModel0=65535; no male model
5064 # Exquisite boots; missing femaleModel0=65535; no male model
5067 # Exquisite clothes; missing femaleModel0=65535; no male model
6465 # Ring of charos(a); missing femaleModel0=65535; no male model
6575 # Onyx ring; missing femaleModel0=65535; no male model
6583 # Ring of stone; missing femaleModel0=65535; no male model
6731 # Seers ring; missing femaleModel0=65535; no male model
6733 # Archers ring; missing femaleModel0=65535; no male model
6735 # Warrior ring; missing femaleModel0=65535; no male model
6737 # Berserker ring; missing femaleModel0=65535; no male model
7927 # Easter ring; missing femaleModel0=65535; no male model
7957 # White apron; missing femaleModel0=65535; no male model
9104 # Lunar ring; missing femaleModel0=65535; no male model
10595 # Clockwork suit; missing femaleModel0=65535; no male model
10596 # Clockwork suit; missing femaleModel0=65535; no male model
10724 # Skeleton boots; missing definition; missing femaleModel0=65535; no male model
10725 # Skeleton gloves; missing definition; missing femaleModel0=65535; no male model
10726 # Skeleton leggings; missing definition; missing femaleModel0=65535; no male model
10727 # Skeleton shirt; missing definition; missing femaleModel0=65535; no male model
10728 # Skeleton mask; missing definition; missing femaleModel0=65535; no male model
10888 # Barrelchest anchor; missing femaleModel0=65535; no male model
11014 # Beacon ring; missing femaleModel0=65535; no male model
11770 # Seers ring (i); missing femaleModel0=65535; no male model
11771 # Archers ring (i); missing femaleModel0=65535; no male model
11772 # Warrior ring (i); missing femaleModel0=65535; no male model
